date,index,price,lm_unemployment,lm_fed_rate,lm_cpi
Jan-97,304,921.55,5.4,5.29,159.1
Feb-97,303,850.46,5.3,5.25,159.4
Mar-97,302,797.06,5.2,5.19,159.7
Apr-97,301,874.74,5.2,5.39,159.8
May-97,300,958.85,5.1,5.51,159.9
Jun-97,299,957.3,4.9,5.5,159.9
Jul-97,298,1107.03,5,5.56,160.2
Aug-97,297,1074.17,4.9,5.52,160.4
Sep-97,296,1097.17,4.8,5.54,160.8
Oct-97,295,1019.62,4.9,5.54,161.2
Nov-97,294,1050.51,4.7,5.5,161.5
Dec-97,293,990.8,4.6,5.52,161.7
Jan-98,292,1071.13,4.7,5.5,161.8
Feb-98,291,1194.13,4.6,5.56,162
Mar-98,290,1220.66,4.6,5.51,162
Apr-98,289,1248.12,4.7,5.49,162
May-98,288,1192.07,4.3,5.45,162.2
Jun-98,287,1337.34,4.4,5.49,162.6
Jul-98,286,1377.26,4.5,5.56,162.8
Aug-98,285,1140.34,4.5,5.54,163.2
Sep-98,284,1345.48,4.5,5.55,163.4
Oct-98,283,1400.52,4.6,5.51,163.5
Nov-98,282,1557.96,4.5,5.07,163.9
Dec-98,281,1836.01,4.4,4.83,164.1
Jan-99,280,2127.19,4.4,4.68,164.4
Feb-99,279,1925.28,4.3,4.63,164.7
Mar-99,278,2106.39,4.4,4.76,164.7
Apr-99,277,2136.39,4.2,4.81,164.8
May-99,276,2089.7,4.3,4.74,165.9
Jun-99,275,2296.77,4.2,4.74,166
Jul-99,274,2270.93,4.3,4.76,166
Aug-99,273,2396.87,4.3,4.99,166.7
Sep-99,272,2407.9,4.2,5.07,167.1
Oct-99,271,2637.44,4.2,5.22,167.8
Nov-99,270,2966.71,4.1,5.2,168.1
Dec-99,269,3707.83,4.1,5.42,168.4
Jan-00,268,3570.05,4,5.3,168.8
Feb-00,267,4266.94,4,5.45,169.3
Mar-00,266,4397.84,4.1,5.73,170
Apr-00,265,3773.18,4,5.85,171
May-00,264,3324.08,3.8,6.02,170.9
Jun-00,263,3763.79,4,6.27,171.2
Jul-00,262,3609.35,4,6.53,172.2
Aug-00,261,4077.59,4,6.54,172.7
Sep-00,260,3570.61,4.1,6.5,172.7
Oct-00,259,3282.3,3.9,6.52,173.6
Nov-00,258,2506.54,3.9,6.51,173.9
Dec-00,257,2341.7,3.9,6.51,174.2
1-Jan,256,2593,3.9,6.4,174.6
1-Feb,255,1908.32,4.2,5.98,175.6
1-Mar,254,1573.25,4.2,5.49,176
1-Apr,253,1855.15,4.3,5.31,176.1
1-May,252,1799.89,4.4,4.8,176.4
1-Jun,251,1830.19,4.3,4.21,177.3
1-Jul,250,1683.61,4.5,3.97,177.7
1-Aug,249,1469.7,4.6,3.77,177.4
1-Sep,248,1168.37,4.9,3.65,177.4
1-Oct,247,1364.78,5,3.07,178.1
1-Nov,246,1596.05,5.3,2.49,177.6
1-Dec,245,1577.05,5.5,2.09,177.5
2-Jan,244,1550.17,5.7,1.82,177.4
2-Feb,243,1359.22,5.7,1.73,177.7
2-Mar,242,1452.81,5.7,1.74,178
2-Apr,241,1277.07,5.7,1.73,178.5
2-May,240,1208.34,5.9,1.75,179.3
2-Jun,239,1051.41,5.8,1.75,179.5
2-Jul,238,962.11,5.8,1.75,179.6
2-Aug,237,942.38,5.8,1.73,180
2-Sep,236,832.52,5.7,1.74,180.5
2-Oct,235,989.54,5.7,1.75,180.8
2-Nov,234,1116.1,5.7,1.75,181.2
2-Dec,233,984.36,5.9,1.34,181.5
3-Jan,232,983.05,6,1.24,181.8
3-Feb,231,1009.74,5.8,1.24,182.6
3-Mar,230,1018.66,5.9,1.26,183.6
3-Apr,229,1106.06,5.9,1.25,183.9
3-May,228,1197.89,6,1.26,183.2
3-Jun,227,1201.69,6.1,1.26,182.9
3-Jul,226,1276.94,6.3,1.22,183.1
3-Aug,225,1341.2,6.2,1.01,183.7
3-Sep,224,1303.7,6.1,1.03,184.5
3-Oct,223,1416.39,6.1,1.01,185.1
3-Nov,222,1424.25,6,1.01,184.9
3-Dec,221,1467.92,5.8,1,185
4-Jan,220,1493.08,5.7,0.98,185.5
4-Feb,219,1470.38,5.7,1,186.3
4-Mar,218,1438.41,5.6,1.01,186.7
4-Apr,217,1401.36,5.8,1,187.1
4-May,216,1466.22,5.6,1,187.4
4-Jun,215,1516.64,5.6,1,188.2
4-Jul,214,1400.39,5.6,1.03,188.9
4-Aug,213,1368.68,5.5,1.26,189.1
