date,price,index,lm_fed_rate,lm_unemployment,lm_cpi
20-Jun,3100.29,23,0.05,13.2,255.944
20-Jul,3271.12,22,0.08,11,257.217
20-Aug,3500.31,21,0.09,10.2,258.543
20-Sep,3363,20,0.1,8.4,259.58
20-Oct,3269.96,19,0.09,7.9,260.19
20-Nov,3621.63,18,0.09,6.9,260.352
20-Dec,3756.07,17,0.09,6.7,260.721
21-Jan,3714.24,16,0.09,6.7,261.564
21-Feb,3811.15,15,0.09,6.4,262.2
21-Mar,3972.89,14,0.08,6.2,263.346
21-Apr,4181.17,13,0.07,6,265.028
21-May,4204.11,12,0.07,6,266.727
21-Jun,4297.5,11,0.06,5.8,268.599
21-Jul,4395.26,10,0.08,5.9,270.955
21-Aug,4522.68,9,0.1,5.4,272.184
21-Sep,4307.54,8,0.09,5.2,273.092
21-Oct,4605.38,7,0.08,4.7,274.214
21-Nov,4567,6,0.08,4.6,276.59
21-Dec,4766.18,5,0.08,4.2,278.524
22-Jan,4515.55,4,0.08,3.9,280.126
22-Feb,4373.79,3,0.08,4,281.933
22-Mar,4530.41,2,0.08,3.8,284.182
22-Apr,4131.93,1,0.2,3.6,287.708
22-May,4132.15,0,0.33,3.6,288.663
22-Jun,3788.98,-1,0.77,3.6,291.474
